e, e_dot, e_int, stamp, 
-0.02424489926139067, 0.017623876083718525, -0.005410466871905306, 97308000000, 
-0.023182815230634042, 0.013990755000162156, -0.004987183748180494, 97410000000, 
-0.020990423040007866, 0.010848254071276013, -0.004561209168802172, 97478000000, 
-0.0180800288938904, 0.017009287789145473, -0.00415021781096882, 97580000000, 
-0.015464216526737379, 0.01842068837756829, -0.0036356445640423765, 97682000000, 
-0.014068309760214743, 0.013372397112252193, -0.0031741703453895013, 97750000000, 
-0.011692702167341213, 0.012571714531320553, -0.002748348563619556, 97852000000, 
-0.010244862997760142, 0.012744822541515335, -0.0024003916616877397, 97954000000, 
-0.009209767208134326, 0.008276449864022956, -0.0020764888248823786, 98022000000, 
-0.007856024020127656, 0.007962796592108287, -0.0018207102817348083, 98124000000, 
-0.006880118024920399, 0.007765497277379757, -0.0015963939502121587, 98192000000, 
-0.005884854003289791, 0.006570566722792884, -0.0013747330698891899, 98294000000, 
-0.004893473390494484, 0.0066221487814197184, -0.0011772296945803116, 98396000000, 
-0.004205954831014577, 0.005596330574250714, -0.0009989521483199234, 98464000000, 
-0.003708067750100491, 0.003951352134646642, -0.0008538330647739701, 98532000000, 
-0.0030579342745368308, 0.0038267351882591543, -0.0007314637903767933, 98634000000, 
-0.002507492905791454, 0.00400191614769679, -0.0006182329953619183, 98736000000, 
-0.002228924153149973, 0.002763367071289526, -0.0005196234222318839, 98804000000, 
-0.0015918341282018596, 0.0030521959252986486, -0.0004218834124762191, 98872000000, 
-0.0013339720893663601, 0.002983173545945376, -0.00034364869138121286, 98940000000, 
-0.0009970035347093642, 0.0019827686449749846, -0.00026152065015183894, 99042000000, 
-0.000744099962634606, 0.00196624042243918, -0.000205005039114022, 99144000000, 
-0.0005941048440919129, 0.0013429956353915044, -0.00015568055609572554, 99212000000, 
-0.0004980800332606452, 0.0008200664312465359, -0.0001224189893324776, 99314000000, 
-3.759444201970475e-05, 0.0018550346735740273, -7.53186212914842e-05, 99416000000, 
2.4849646901819837e-05, 0.0017430989338748837, -3.405498855856868e-05, 99484000000, 
5.950359419324997e-05, 0.0003236601207098491, 3.1172532716910038e-06, 99552000000, 
9.828562479964099e-05, 0.0002447865929927372, 1.217592439298072e-05, 99620000000, 
0.00013437318361144497, 0.00024956529806065, 1.947749350695573e-05, 99688000000, 
0.00017990516759996739, 0.00027206514266775466, 2.7504265067403556e-05, 99790000000, 
0.0003690350536146739, 0.0007822062333440963, 4.555422698840575e-05, 99892000000, 
0.0003625659382130088, 0.0006088692353768048, 6.076707729517667e-05, 99960000000, 
0.0003581529360890843, -3.627372508529852e-05, 7.26502618611178e-05, 100062000000, 
0.0003535874137257915, -2.992841495739103e-05, 7.162041920185897e-05, 100130000000, 
0.0003362868356534684, -7.28870014520531e-05, 6.986847903122295e-05, 100232000000, 
0.00029083047943001756, -0.0002091897809859132, 6.538031525395182e-05, 100300000000, 
0.00038183107955933087, 0.00015181414635287492, 6.726322630952113e-05, 100402000000, 
0.0003449155676341891, 0.00018028362734723852, 6.783847510823584e-05, 100504000000, 
